company,report_year,indicator_name,value,unit,confidence,source_page,source_section,notes
Groupe BPCE,2024,Avg Payment Period to Suppliers,27.38,days,1.0,"223, 224, 228, 339",Context,"the average payment period complies with this requirement, and amounts to 27.38 days."
Groupe BPCE,2024,Board Female Representation,,%,0.5,"166, 173, 176, 326, 328",Sustainability,Not found
Groupe BPCE,2024,Board Meetings,,count/year,0.5,"137, 153, 168, 191, 235",Sustainability,Not found
Groupe BPCE,2024,Collective Bargaining Coverage,100,%,1.0,"172, 173, 325",SUSTAINABILITY REPORT 2 BPCE Sustainability report 2024 Universal registration document,100% RATE OF ALL EMPLOYEES COVERED BY COLLECTIVE BARGAINING AGREEMENTS
Groupe BPCE,2024,Corruption Incidents,1,count,1.0,"100, 225, 226, 228",4.1.2.1 (G1-4) CONFIRMED INCIDENTS OF CORRUPTION OR BRIBERY,"In the reference year 2024, there was one conviction for breaches of anti-corruption legislation and for acts of corruption."
Groupe BPCE,2024,Employee Turnover Rate,9.21,%,1.0,"171, 172, 324",SUSTAINABILITY REPORT 2 Groupe BPCE sustainability report 2024 Universal registration document,9.21% PERMANENT STAFF TURNOVER RATE
Groupe BPCE,2024,Female Employees,92.76,%,1.0,"166, 169, 176, 323, 328",Breakdown by gender of employees who participated in regular performance and career development reviews,"Female 12,652 92.76"
Groupe BPCE,2024,GHG Emissions Intensity,,tCO₂e per €M revenue,0.5,"126, 138, 140",Sustainability,Not found
Groupe BPCE,2024,Gender Pay Gap,17.0,%,1.0,"176, 179, 331",SUSTAINABILITY REPORT 2 Groupe BPCE sustainability report 2024 Universal registration document 3.1.5.12 (S1-16) REMUNERATION METRICS (PAY GAP AND TOTAL REMUNERATION),17.0% GENDER PAY GAP WITHIN THE GROUP SCOPE EXCLUDING NATIXIS
Groupe BPCE,2024,Green Financing Volume,,€ millions,0.5,"234, 240, 242, 246, 342",Sustainability,Not found
Groupe BPCE,2024,Net Zero Target Year,,year,0.5,"137, 138, 139, 140",Sustainability,Not found
Groupe BPCE,2024,Renewable Energy Percentage,,%,0.5,"123, 125, 132, 137, 138",Sustainability,Not found
Groupe BPCE,2024,Suppliers Screened for ESG,,%,0.5,"187, 191, 224, 349",Sustainability,Not found
Groupe BPCE,2024,Total Employees,,FTE,0.5,"169, 171, 176, 322, 323",Sustainability,Not found
Groupe BPCE,2024,Total Energy Consumption,,MWh,0.5,"132, 138, 142, 317",Sustainability,Not found
Groupe BPCE,2024,Total Scope 1 GHG Emissions,23154,tCO₂e,1.0,"125, 138, 142, 317",Groupe BPCE sustainability report 2024 Universal registration document 2.2.4.2 (E1-6),"Gross Scope 1 GHG emissions - Emissions [tCO2eq] 12/31/2024 23,154 21,330 (8%)"
Groupe BPCE,2024,Total Scope 2 GHG Emissions,18152,tCO₂e,1.0,"125, 142, 144, 317",Groupe BPCE sustainability report 2024 Universal registration document 2.2.4.2 (E1-6),"Gross Scope 2 GHG emissions (location- based) [tCO2eq] 12/31/2024 18,152 17,658 (3%)"
Groupe BPCE,2024,Total Scope 3 GHG Emissions,498165,tCO₂e,1.0,"125, 142, 144, 317","Groupe BPCE sustainability report 2024 Universal registration document 2.2.4.2 (E1-6) GROSS SCOPES 1, 2, 3 AND TOTAL GHG EMISSIONS","Total gross indirect Scope 3 GHG emissions [tCO2eq] 12/31/2024 498,165 505,207 1% (5.7%) (19.3%) (1.9%) (1.9%)"
Groupe BPCE,2024,Training Hours per Employee,36,hours,1.0,"163, 167, 176, 328",Training hours completed in 2024,Average number of training hours 36 36 36
Groupe BPCE,2024,Work-Related Accidents,246,count,1.0,"177, 329, 335",Occupational health and safety 12/31/2024,Number of work-related accidents over the period 246
